index,YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
3371,2015,Nore,DAIRY,C,0,0,0,0,115,460,22209,99466
3372,2019,Dargle,BEEF,C,0,0,0,0,9,13,46,1082
3373,2017,Dodder,BEEF,C,0,0,0,0,1,10,22,503
3374,2015,Dodder,BEEF,C,0,0,0,0,1,10,22,496
3375,2014,Dodder,BEEF,C,0,0,0,0,0,9,21,522
3376,2018,Boyne,BEEF,C,0,0,0,4,222,601,3952,49749
3377,2019,Inny,BEEF,C,0,0,0,0,107,265,2071,29422
3378,2018,Boyne,DAIRY,C,0,0,0,1,117,1474,11557,64934
3379,2016,Boyne,DAIRY,C,0,0,0,1,115,1569,11404,64337
3380,2018,Inny,BEEF,C,0,0,0,0,106,262,2020,29088
3381,2016,Inny,DAIRY,C,0,0,0,1,29,190,4190,20699
3382,2015,Doonbeg,BEEF,C,0,0,0,0,24,36,325,5614
3383,2017,Dargle,DAIRY,C,0,0,0,0,0,1,41,336
3384,2015,Dargle,DAIRY,C,0,0,0,0,0,1,29,211
3385,2016,Moy,DAIRY,C,0,0,0,0,15,64,1433,9941
3386,2018,Currane,BEEF,C,0,0,0,0,0,11,64,1177
3387,2020,Nore,BEEF,F,1506,7162,39462,9035,33664,4446,4289,1213
3388,2020,Currane,DAIRY,C,0,0,0,0,0,0,4,28
3389,2020,Vartry,DAIRY,C,0,0,0,0,3,66,429,1680
3390,2017,Boyne,BEEF,F,1587,7378,35899,11300,41712,6470,7798,1602
3391,2020,Inny,DAIRY,F,190,531,5932,658,6131,407,825,284
3392,2019,Ilen,BEEF,F,309,1043,4174,795,2720,390,404,179
3393,2015,Nore,DAIRY,F,427,1438,33381,1652,30239,1079,3387,689
3394,2020,Ilen,DAIRY,F,65,344,5031,428,4611,319,688,172
3395,2015,Ilen,DAIRY,F,65,344,5013,427,4605,302,664,176
3396,2020,Currane,BEEF,F,28,195,304,102,224,76,66,25
3397,2014,Currane,BEEF,F,22,187,276,99,231,77,63,24
3398,2019,Dodder,DAIRY,F,0,1,287,22,145,15,12,2
3399,2016,Dodder,DAIRY,F,0,1,252,2,84,0,6,1
3400,2015,Doonbeg,DAIRY,F,6,11,1367,26,1293,30,312,80
3401,2014,Vartry,DAIRY,F,15,87,221,141,332,95,49,28
3402,2019,Gweebarra,DAIRY,F,0,0,34,0,15,0,7,0
3403,2015,Inny,BEEF,M,628,3430,15256,4383,14653,1668,2726,1500
3404,2014,Boyne,BEEF,M,1622,6903,33021,9289,33128,4667,7425,2837
3405,2019,Moy,BEEF,M,733,3750,16335,3199,11311,1124,1465,1279
3406,2020,Moy,BEEF,M,737,3741,16443,3198,11304,1125,1441,1282
3407,2017,Moy,BEEF,M,747,3734,16261,3163,11167,1110,1473,1288
3408,2017,Ilen,BEEF,M,309,1059,4651,570,2790,248,355,459
3409,2014,Boyne,DAIRY,M,679,1798,7419,2331,8078,1217,1047,364
3410,2014,Doonbeg,DAIRY,M,3,17,983,26,666,9,97,27
3411,2020,Gweebarra,BEEF,M,17,84,176,20,46,8,10,27
3412,2016,Boyne,DAIRY,M,700,1898,7736,2450,7908,1250,1044,360
3413,2015,Boyne,DAIRY,M,684,1817,7456,2413,7703,1209,1049,364
3414,2018,Dargle,BEEF,M,31,120,547,112,347,55,55,58
3415,2016,Dargle,BEEF,M,28,112,519,111,338,50,54,57
3416,2018,Erriff,BEEF,M,2,51,244,25,66,17,35,14
3417,2016,Currane,BEEF,M,27,207,244,28,58,12,7,40
3418,2019,Dargle,DAIRY,M,0,3,38,4,37,9,4,0
3419,2018,Dodder,DAIRY,M,0,0,30,3,18,6,1,0
3420,2019,Dodder,DAIRY,M,0,0,106,11,151,36,3,0
3421,2018,Vartry,DAIRY,M,15,39,132,66,57,24,32,8
3422,2017,Vartry,DAIRY,M,15,39,132,66,57,24,32,8
3423,2017,Moy,BEEF,C,0,0,0,0,81,249,2979,40047
3424,2017,Dargle,BEEF,C,0,0,0,0,4,5,66,984
3425,2015,Boyne,BEEF,C,0,0,0,4,185,611,4080,45963
3426,2014,Inny,BEEF,C,0,0,0,1,86,237,2002,26216
3427,2020,Moy,DAIRY,C,0,0,0,0,8,98,1594,9742
3428,2014,Moy,DAIRY,C,0,0,0,0,8,102,1572,9675
3429,2017,Ilen,BEEF,C,0,0,0,0,15,115,516,6333
3430,2018,Ilen,BEEF,C,0,0,0,0,16,121,521,6367
3431,2019,Vartry,BEEF,C,0,0,0,0,6,29,129,1539
3432,2016,Currane,BEEF,C,0,0,0,0,2,16,102,1132
3433,2018,Doonbeg,DAIRY,C,0,0,0,0,4,6,1011,6256
3434,2019,Doonbeg,DAIRY,C,0,0,0,0,4,6,1064,6471
3435,2019,Currane,DAIRY,C,0,0,0,0,0,0,3,32
3436,2020,Moy,BEEF,F,641,3238,19971,3953,14322,1886,3758,1114
3437,2016,Moy,BEEF,F,621,3219,19578,3901,14114,1863,3723,1092
3438,2018,Erriff,BEEF,C,0,0,0,0,1,0,14,571
3439,2014,Vartry,BEEF,F,62,230,998,259,761,120,97,28
3440,2019,Gweebarra,DAIRY,C,0,0,0,0,0,0,12,104
3441,2015,Gweebarra,DAIRY,C,0,0,0,0,0,0,12,104
3442,2020,Dargle,BEEF,F,23,89,601,139,448,64,95,27
3443,2019,Erriff,BEEF,F,2,62,222,29,155,17,57,4
3444,2017,Boyne,DAIRY,F,948,3992,16919,4324,16310,2347,2247,892
3445,2019,Inny,DAIRY,F,212,645,6688,727,5768,429,660,235
3446,2016,Ilen,DAIRY,F,85,277,4903,382,4196,291,511,146
3447,2018,Dodder,BEEF,F,10,50,194,67,147,48,60,14
3448,2015,Dargle,BEEF,F,20,91,584,141,461,65,106,26
3449,2014,Dargle,BEEF,F,20,86,566,130,433,60,93,24
