index,YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
874,2020,Moy,BEEF,F,891,3885,19208,4053,14354,1950,3616,869
875,2016,Moy,BEEF,F,900,3912,19252,4147,14664,2000,3681,891
876,2018,Erriff,BEEF,C,0,0,0,0,1,7,56,737
877,2019,Currane,DAIRY,C,0,0,0,0,0,0,3,32
878,2017,Boyne,DAIRY,F,915,3974,15660,4821,14695,3395,2895,997
879,2014,Vartry,BEEF,F,52,280,1037,399,1136,191,157,46
880,2019,Inny,DAIRY,F,146,422,5713,680,5257,570,964,279
881,2020,Moy,DAIRY,F,150,314,2667,484,2365,392,541,207
882,2017,Moy,DAIRY,F,151,307,2695,481,2366,388,545,209
883,2020,Dargle,BEEF,F,14,182,580,131,408,59,135,35
884,2015,Dargle,BEEF,F,12,177,571,132,419,72,140,35
885,2014,Dargle,BEEF,F,12,177,569,130,416,71,135,35
886,2016,Ilen,DAIRY,F,114,367,5294,421,4671,337,663,190
887,2018,Dodder,BEEF,F,14,88,175,60,163,40,61,23
888,2019,Gweebarra,DAIRY,C,0,0,0,0,0,0,11,80
889,2015,Gweebarra,DAIRY,C,0,0,0,0,0,0,11,80
890,2019,Erriff,BEEF,F,20,69,262,39,120,19,26,13
891,2020,Currane,DAIRY,F,0,0,4,0,2,0,1,1
892,2017,Dodder,DAIRY,F,3,12,230,20,121,7,20,7
893,2016,Gweebarra,DAIRY,F,0,0,33,0,23,0,0,0
894,2016,Erriff,DAIRY,F,0,0,0,0,0,2,1,0
895,2016,Moy,BEEF,M,926,4166,16808,3484,10859,935,1030,1232
896,2019,Boyne,BEEF,M,1728,8401,34785,11378,34488,4853,5701,2510
897,2020,Currane,BEEF,M,28,275,176,21,37,13,15,51
898,2016,Nore,DAIRY,M,510,2475,32281,3098,24838,1469,1590,233
899,2016,Doonbeg,BEEF,M,155,575,2805,360,1484,98,192,273
900,2015,Moy,DAIRY,M,139,196,1671,287,1036,153,74,32
901,2019,Dodder,BEEF,M,17,111,196,38,226,42,38,32
902,2014,Erriff,BEEF,M,10,72,287,36,127,9,7,18
903,2017,Vartry,BEEF,M,41,256,872,213,600,110,126,79
904,2016,Vartry,BEEF,M,41,259,884,213,600,110,126,81
905,2017,Gweebarra,BEEF,M,31,83,202,37,50,6,7,12
906,2016,Doonbeg,DAIRY,M,2,26,1077,62,597,17,77,19
907,2020,Ilen,DAIRY,M,118,288,2528,235,1499,73,93,61
908,2020,Dodder,DAIRY,M,0,30,140,15,96,25,4,0
909,2019,Vartry,DAIRY,M,22,59,127,64,133,40,4,13
910,2014,Gweebarra,DAIRY,M,0,0,284,22,162,0,0,0
911,2015,Erriff,DAIRY,M,0,0,3,0,4,3,0,0
912,2020,Dargle,DAIRY,M,0,34,95,17,94,3,6,0
913,2014,Dargle,DAIRY,M,0,27,83,8,56,3,5,0
914,2019,Currane,DAIRY,M,5,13,6,5,3,0,1,0
915,2017,Gweebarra,DAIRY,M,0,0,32,0,8,0,0,0
916,2017,Nore,BEEF,C,0,0,0,3,274,777,5179,54169
917,2018,Nore,BEEF,C,0,0,0,3,275,773,5184,54179
918,2020,Boyne,BEEF,C,0,0,0,0,266,785,4905,54893
919,2017,Nore,DAIRY,C,0,0,0,0,110,459,20172,85927
920,2019,Doonbeg,BEEF,C,0,0,0,0,20,34,389,5909
921,2016,Doonbeg,BEEF,C,0,0,0,0,20,33,383,5863
922,2017,Inny,BEEF,C,0,0,0,1,129,356,2464,30825
923,2018,Dodder,BEEF,C,0,0,0,0,5,7,54,582
924,2016,Ilen,BEEF,C,0,0,0,0,25,104,616,6712
925,2015,Ilen,BEEF,C,0,0,0,0,25,104,614,6727
926,2015,Ilen,DAIRY,C,0,0,0,0,13,88,3530,19056
927,2020,Inny,DAIRY,C,0,0,0,0,37,212,3752,18162
928,2020,Dodder,DAIRY,C,0,0,0,0,0,13,50,282
929,2019,Dodder,DAIRY,C,0,0,0,0,0,7,44,227
930,2016,Dargle,DAIRY,C,0,0,0,0,3,8,55,296
931,2014,Dargle,DAIRY,C,0,0,0,0,3,8,55,296
932,2018,Boyne,BEEF,F,1716,8201,37093,12159,40503,5553,6311,1233
933,2016,Doonbeg,DAIRY,C,0,0,0,0,4,8,1116,5509
934,2017,Currane,BEEF,C,0,0,0,0,2,34,85,1323
935,2014,Currane,BEEF,C,0,0,0,0,2,30,84,1197
936,2018,Vartry,DAIRY,C,0,0,0,0,13,80,213,1317
937,2017,Currane,DAIRY,C,0,0,0,0,0,0,3,32
938,2016,Currane,DAIRY,C,0,0,0,0,0,0,3,32
939,2017,Doonbeg,BEEF,F,146,545,2823,431,1633,176,487,114
940,2015,Doonbeg,BEEF,F,147,532,2792,431,1590,175,490,115
941,2020,Nore,DAIRY,F,456,1659,31550,2029,28413,1469,3641,666
942,2016,Inny,DAIRY,F,171,515,5860,748,5432,578,924,293
943,2018,Moy,DAIRY,F,151,307,2643,472,2359,388,540,207
944,2019,Doonbeg,DAIRY,F,2,50,1711,39,1726,50,349,75
945,2016,Doonbeg,DAIRY,F,2,36,1659,30,1653,32,343,61
946,2014,Ilen,BEEF,F,284,1016,4177,764,2443,349,423,137
947,2020,Dodder,BEEF,F,14,101,304,75,222,48,69,25
948,2018,Gweebarra,DAIRY,C,0,0,0,0,0,0,11,81
949,2020,Vartry,DAIRY,F,13,155,361,163,398,65,27,27
950,2017,Vartry,DAIRY,F,12,122,208,138,349,63,23,27
951,2016,Dargle,DAIRY,F,3,14,252,17,141,9,28,8
952,2014,Dargle,DAIRY,F,3,14,252,17,141,9,28,8
953,2019,Currane,DAIRY,F,0,0,4,0,2,0,1,1
954,2014,Currane,DAIRY,F,0,0,4,0,2,0,1,0
955,2018,Gweebarra,DAIRY,F,0,0,33,0,23,0,0,0
956,2020,Erriff,DAIRY,C,0,0,0,0,0,0,0,2
957,2016,Erriff,DAIRY,C,0,0,0,0,0,0,0,2
958,2014,Gweebarra,DAIRY,F,0,0,2,0,0,0,0,0
959,2014,Moy,BEEF,M,928,4119,16531,3376,10704,930,1020,1217
960,2016,Boyne,BEEF,M,1716,8429,35193,10858,33757,4882,5875,2536
961,2019,Nore,BEEF,M,1877,8806,43945,11144,43024,3802,4066,2437
962,2015,Nore,BEEF,M,1884,8630,43780,11198,43494,3816,4166,2474
963,2015,Currane,BEEF,M,28,267,169,21,38,13,14,49
964,2017,Inny,BEEF,M,742,4185,16101,5085,15752,1869,2216,1335
965,2020,Doonbeg,BEEF,M,157,621,2850,380,1488,99,193,279
966,2018,Doonbeg,BEEF,M,155,597,2828,355,1469,97,193,276
967,2015,Dodder,BEEF,M,17,106,109,25,115,30,30,28
968,2020,Erriff,BEEF,M,16,68,193,37,116,8,8,16
969,2020,Boyne,DAIRY,M,888,2891,12413,3543,8629,1557,1016,267
970,2017,Boyne,DAIRY,M,911,2834,12117,3469,8302,1534,999,267
971,2019,Inny,DAIRY,M,155,414,3308,556,1937,284,225,63
972,2017,Inny,DAIRY,M,149,441,3397,611,2139,290,242,75
973,2015,Gweebarra,BEEF,M,31,83,192,37,50,6,6,12
974,2014,Dodder,DAIRY,M,0,23,19,5,10,1,2,0
975,2018,Gweebarra,DAIRY,M,0,0,32,0,8,0,0,0
976,2016,Dargle,BEEF,C,0,0,0,0,8,17,105,1213
977,2015,Dargle,BEEF,C,0,0,0,0,8,17,105,1216
978,2019,Moy,DAIRY,C,0,0,0,0,13,104,1469,9681
979,2018,Doonbeg,BEEF,C,0,0,0,0,20,34,387,5947
980,2015,Boyne,DAIRY,C,0,0,0,0,121,1636,9989,59371
981,2017,Ilen,DAIRY,C,0,0,0,0,12,88,3553,19095
982,2018,Ilen,DAIRY,C,0,0,0,0,13,87,3512,19004
983,2014,Ilen,DAIRY,C,0,0,0,0,13,87,3617,19579
984,2017,Inny,DAIRY,C,0,0,0,0,36,250,3818,18582
985,2018,Inny,DAIRY,C,0,0,0,0,38,235,3897,18710
986,2014,Inny,DAIRY,C,0,0,0,0,38,222,3855,18505
987,2015,Inny,BEEF,F,725,4005,16195,4791,15419,2114,2597,665
988,2014,Inny,BEEF,F,733,3946,16185,4793,15606,2089,2516,675
989,2014,Doonbeg,DAIRY,C,0,0,0,0,4,8,1101,5559
990,2018,Nore,BEEF,F,1817,8121,38222,10031,31704,3697,3396,1066
991,2016,Nore,BEEF,F,1838,8121,38192,10068,32008,3709,3427,1073
992,2019,Vartry,DAIRY,C,0,0,0,0,13,75,190,1115
993,2016,Vartry,DAIRY,C,0,0,0,0,13,60,203,1170
994,2014,Vartry,DAIRY,C,0,0,0,0,13,60,174,1349
995,2017,Moy,BEEF,F,917,3924,19391,4137,14611,2009,3709,902
996,2018,Moy,BEEF,F,908,3932,19377,4138,14631,1993,3684,895
997,2017,Gweebarra,BEEF,C,0,0,0,0,2,7,43,747
998,2016,Gweebarra,BEEF,C,0,0,0,0,2,7,43,747
999,2018,Currane,DAIRY,C,0,0,0,0,0,0,3,32
1000,2014,Boyne,DAIRY,F,906,4080,15810,4915,14863,3347,2828,1033
1001,2019,Doonbeg,BEEF,F,146,543,2802,430,1631,177,482,113
1002,2014,Doonbeg,BEEF,F,149,569,2770,429,1575,195,490,127
1003,2020,Boyne,DAIRY,F,895,3995,15755,4819,14979,3323,2865,1006
1004,2019,Boyne,DAIRY,F,901,3962,15642,4766,14916,3308,2867,1004
1005,2015,Boyne,DAIRY,F,900,4070,15451,4939,14605,3396,2824,1024
1006,2017,Vartry,BEEF,F,49,283,996,390,1193,188,168,45
1007,2015,Vartry,BEEF,F,48,279,1022,389,1162,189,165,46
1008,2014,Nore,DAIRY,F,466,1647,30909,1995,27374,1403,3627,684
1009,2017,Inny,DAIRY,F,160,513,5692,752,5365,598,935,296
1010,2015,Inny,DAIRY,F,168,499,5745,711,5310,580,900,278
1011,2014,Doonbeg,DAIRY,F,2,36,1701,29,1648,32,335,71
1012,2017,Dargle,BEEF,F,12,177,571,132,419,71,139,35
1013,2017,Ilen,DAIRY,F,112,364,5284,416,4672,337,675,190
1014,2019,Currane,BEEF,F,37,233,250,78,185,58,69,19
1015,2020,Gweebarra,BEEF,F,33,81,230,60,157,23,56,15
1016,2018,Erriff,BEEF,F,20,82,291,40,127,19,28,14
1017,2015,Erriff,BEEF,F,22,74,289,39,147,23,24,13
1018,2014,Erriff,BEEF,F,9,65,268,31,111,18,24,13
1019,2015,Dodder,DAIRY,F,3,12,230,20,121,7,20,7
1020,2017,Gweebarra,DAIRY,F,0,0,33,0,23,0,0,0
1021,2020,Erriff,DAIRY,F,0,0,0,0,1,2,1,0
1022,2019,Erriff,DAIRY,F,0,0,0,0,0,2,1,0
1023,2014,Nore,BEEF,M,1883,8740,43804,11267,43919,3847,4192,2467
1024,2018,Currane,BEEF,M,28,276,178,22,37,13,14,51
1025,2016,Inny,BEEF,M,729,4202,16071,5073,15680,1855,2251,1332
1026,2020,Nore,DAIRY,M,499,2405,32545,2959,24993,1501,1552,225
1027,2015,Nore,DAIRY,M,497,2392,31807,2961,24338,1416,1581,233
1028,2014,Ilen,BEEF,M,276,948,4736,973,2681,265,303,384
1029,2016,Moy,DAIRY,M,139,194,1803,277,1074,155,75,32
1030,2014,Currane,BEEF,M,28,257,153,22,36,13,14,48
1031,2019,Dargle,BEEF,M,18,163,494,97,326,39,39,63
1032,2017,Dodder,BEEF,M,17,106,109,25,127,32,32,29
1033,2016,Dodder,BEEF,M,17,106,109,25,127,32,32,29
1034,2014,Inny,DAIRY,M,181,441,3274,586,2007,261,241,77
1035,2018,Gweebarra,BEEF,M,32,89,210,47,52,6,8,13
1036,2017,Doonbeg,DAIRY,M,2,26,1079,62,599,17,77,19
1037,2019,Ilen,DAIRY,M,118,288,2509,235,1500,74,94,61
1038,2017,Ilen,DAIRY,M,118,288,2456,234,1465,92,94,61
1039,2016,Ilen,DAIRY,M,119,288,2487,234,1483,92,96,61
1040,2015,Ilen,DAIRY,M,119,288,2469,234,1483,72,96,61
1041,2018,Erriff,DAIRY,M,0,0,3,1,33,3,0,0
1042,2014,Erriff,DAIRY,M,0,0,3,0,92,3,0,0
1043,2016,Dargle,DAIRY,M,0,27,83,9,66,3,6,0
1044,2015,Dodder,DAIRY,M,0,23,19,5,10,1,2,0
1045,2017,Currane,DAIRY,M,0,0,5,0,3,0,1,0
1046,2016,Currane,DAIRY,M,0,0,5,0,3,0,1,0
1047,2015,Currane,DAIRY,M,0,0,5,0,3,0,1,0
1048,2016,Nore,BEEF,C,0,0,0,3,273,763,5171,54353
1049,2017,Boyne,BEEF,C,0,0,0,0,269,792,4936,55426
1050,2016,Nore,DAIRY,C,0,0,0,0,109,458,20067,85333
1051,2018,Moy,BEEF,C,0,0,0,0,98,314,3367,43344
1052,2015,Moy,BEEF,C,0,0,0,0,98,312,3340,43203
1053,2018,Dargle,BEEF,C,0,0,0,0,8,17,111,1234
1054,2020,Dargle,BEEF,C,0,0,0,0,8,17,109,1228
1055,2018,Vartry,BEEF,C,0,0,0,0,10,32,243,1834
1056,2015,Vartry,BEEF,C,0,0,0,0,13,31,235,1852
1057,2016,Vartry,BEEF,C,0,0,0,0,10,31,245,1814
1058,2017,Doonbeg,BEEF,C,0,0,0,0,20,34,389,5894
1059,2015,Inny,BEEF,C,0,0,0,1,127,343,2422,30554
1060,2020,Boyne,DAIRY,C,0,0,0,0,121,1541,10196,59567
1061,2017,Boyne,DAIRY,C,0,0,0,0,120,1518,10056,59423
1062,2020,Doonbeg,DAIRY,C,0,0,0,0,4,8,1161,5947
1063,2017,Doonbeg,DAIRY,C,0,0,0,0,4,8,1116,5513
1064,2019,Nore,BEEF,F,1821,8165,38253,10045,31656,3701,3424,1055
1065,2017,Nore,BEEF,F,1839,8119,38364,10076,31801,3688,3408,1038
1066,2017,Vartry,DAIRY,C,0,0,0,0,13,60,161,1141
1067,2019,Gweebarra,BEEF,C,0,0,0,0,3,9,42,781
1068,2014,Moy,BEEF,F,901,3893,19060,4127,14512,1967,3627,888
1069,2015,Gweebarra,BEEF,C,0,0,0,0,2,7,40,738
1070,2019,Erriff,BEEF,C,0,0,0,0,1,7,55,650
1071,2017,Erriff,BEEF,C,0,0,0,0,1,7,56,737
1072,2014,Erriff,BEEF,C,0,0,0,0,1,3,33,692
1073,2017,Nore,DAIRY,F,467,1675,31146,2073,28199,1482,3650,692
1074,2016,Nore,DAIRY,F,466,1689,31023,2095,28074,1475,3667,683
1075,2018,Inny,DAIRY,F,150,472,5857,712,5413,589,968,298
1076,2014,Inny,DAIRY,F,172,485,5920,718,5383,607,913,276
1077,2016,Moy,DAIRY,F,151,301,2692,479,2342,385,535,204
1078,2017,Ilen,BEEF,F,273,988,4173,749,2476,340,424,134
1079,2016,Ilen,BEEF,F,276,995,4175,751,2492,343,426,134
1080,2019,Dodder,BEEF,F,12,84,249,66,216,46,66,25
1081,2014,Dodder,BEEF,F,12,96,211,58,159,38,56,22
1082,2017,Gweebarra,DAIRY,C,0,0,0,0,0,0,11,80
1083,2016,Gweebarra,DAIRY,C,0,0,0,0,0,0,11,80
1084,2016,Erriff,BEEF,F,20,72,290,35,127,19,28,14
1085,2018,Dargle,DAIRY,F,3,17,262,18,152,19,28,9
1086,2018,Currane,DAIRY,F,0,0,4,0,2,0,1,1
1087,2018,Dodder,DAIRY,F,3,12,230,20,121,7,20,7
1088,2014,Dodder,DAIRY,F,3,12,230,20,121,7,21,7
1089,2015,Currane,DAIRY,F,0,0,4,0,2,0,1,0
1090,2020,Gweebarra,DAIRY,F,0,0,33,0,23,0,0,0
1091,2019,Erriff,DAIRY,C,0,0,0,0,0,0,0,2
1092,2014,Erriff,DAIRY,C,0,0,0,0,0,0,0,2
1093,2015,Erriff,DAIRY,F,0,0,0,0,0,2,0,0
1094,2014,Erriff,DAIRY,F,0,0,0,0,0,2,0,0
1095,2015,Moy,BEEF,M,924,4148,16669,3415,10805,926,1030,1221
1096,2019,Inny,BEEF,M,765,4176,16170,5022,15690,1829,2170,1307
1097,2019,Ilen,BEEF,M,269,931,4394,727,2623,258,287,367
1098,2018,Dodder,BEEF,M,17,106,117,25,127,32,32,30
1099,2017,Erriff,BEEF,M,16,85,212,37,88,8,9,17
1100,2015,Erriff,BEEF,M,16,77,211,30,82,8,8,19
1101,2015,Vartry,BEEF,M,41,248,876,204,527,96,95,82
1102,2018,Boyne,DAIRY,M,913,2834,11997,3440,8256,1528,994,268
1103,2018,Inny,DAIRY,M,143,406,3444,574,2292,289,229,69
1104,2016,Inny,DAIRY,M,169,444,3287,579,2025,262,244,76
1105,2014,Gweebarra,BEEF,M,80,196,512,118,178,12,16,30
1106,2019,Doonbeg,DAIRY,M,2,26,1077,63,578,17,76,21
1107,2020,Vartry,DAIRY,M,22,72,151,68,144,43,11,12
1108,2016,Erriff,DAIRY,M,0,0,3,0,5,3,0,0
1109,2015,Vartry,DAIRY,M,22,69,126,60,47,35,4,12
1110,2016,Vartry,DAIRY,M,22,69,127,61,57,41,5,12
1111,2014,Vartry,DAIRY,M,22,76,128,61,61,36,4,13
1112,2020,Gweebarra,DAIRY,M,0,0,32,0,8,0,0,0
1113,2019,Gweebarra,DAIRY,M,0,0,32,0,8,0,0,0
1114,2016,Gweebarra,DAIRY,M,0,0,32,0,8,0,0,0
1115,2019,Boyne,BEEF,C,0,0,0,1,271,786,4905,55005
1116,2019,Nore,DAIRY,C,0,0,0,0,113,452,20267,86052
1117,2018,Nore,DAIRY,C,0,0,0,0,110,465,20233,86005
1118,2019,Moy,BEEF,C,0,0,0,0,96,314,3340,43022
1119,2014,Moy,BEEF,C,0,0,0,0,96,310,3303,43044
1120,2020,Vartry,BEEF,C,0,0,0,0,10,36,263,2030
1121,2014,Vartry,BEEF,C,0,0,0,0,13,30,233,1910
1122,2018,Moy,DAIRY,C,0,0,0,0,13,104,1474,9656
1123,2016,Inny,BEEF,C,0,0,0,1,128,351,2461,30770
1124,2019,Dodder,BEEF,C,0,0,0,0,5,7,62,628
1125,2020,Ilen,DAIRY,C,0,0,0,0,12,87,3544,19031
1126,2018,Dodder,DAIRY,C,0,0,0,0,0,7,44,227
1127,2020,Dargle,DAIRY,C,0,0,0,0,3,8,55,296
1128,2017,Dodder,DAIRY,C,0,0,0,0,0,7,44,227
1129,2020,Boyne,BEEF,F,1682,8210,37277,12174,41363,5640,6360,1226
1130,2016,Boyne,BEEF,F,1688,8239,37180,12234,41044,5708,6485,1236
1131,2019,Inny,BEEF,F,783,4008,16454,4844,15952,2139,2676,663
1132,2017,Inny,BEEF,F,771,4013,16443,4910,16203,2216,2731,687
1133,2016,Inny,BEEF,F,747,4016,16327,4855,15954,2206,2706,701
1134,2020,Currane,BEEF,C,0,0,0,0,2,34,85,1262
1135,2019,Currane,BEEF,C,0,0,0,0,2,34,86,1263
1136,2015,Currane,BEEF,C,0,0,0,0,2,30,85,1212
1137,2018,Gweebarra,BEEF,C,0,0,0,0,3,8,43,782
1138,2015,Moy,BEEF,F,898,3899,19188,4136,14575,1990,3649,894
1139,2020,Erriff,BEEF,C,0,0,0,0,1,7,55,648
1140,2015,Erriff,BEEF,C,0,0,0,0,1,5,50,719
1141,2020,Doonbeg,BEEF,F,147,564,2837,460,1657,187,502,120
1142,2018,Doonbeg,BEEF,F,146,543,2844,433,1638,177,484,114
1143,2016,Boyne,DAIRY,F,913,4075,15681,4953,14763,3412,2864,1033
1144,2016,Vartry,BEEF,F,49,284,1008,391,1213,201,175,45
1145,2014,Moy,DAIRY,F,156,316,2707,463,2337,401,551,208
1146,2019,Dargle,BEEF,F,12,174,576,126,403,57,135,35
1147,2015,Ilen,BEEF,F,275,988,4140,749,2473,341,425,133
1148,2018,Currane,BEEF,F,37,231,249,78,187,58,69,19
1149,2015,Currane,BEEF,F,36,220,227,75,172,54,69,19
1150,2017,Gweebarra,BEEF,F,31,68,220,54,151,20,56,17
1151,2016,Gweebarra,BEEF,F,31,68,220,54,147,20,56,17
1152,2015,Gweebarra,BEEF,F,30,67,213,54,147,20,56,17
1153,2015,Vartry,DAIRY,F,12,121,210,138,352,64,32,30
1154,2017,Dodder,BEEF,F,12,87,168,59,160,39,56,22
1155,2014,Gweebarra,DAIRY,C,0,0,0,0,0,0,2,36
1156,2017,Erriff,BEEF,F,20,82,291,40,127,19,28,14
1157,2018,Vartry,DAIRY,F,13,155,256,163,397,65,27,27
1158,2020,Dodder,DAIRY,F,3,15,49,21,46,17,17,8
1159,2018,Erriff,DAIRY,C,0,0,0,0,0,0,0,2
1160,2017,Erriff,DAIRY,C,0,0,0,0,0,0,0,2
1161,2018,Erriff,DAIRY,F,0,0,0,0,0,2,1,0
1162,2020,Boyne,BEEF,M,1736,8406,34957,11394,33937,4814,5621,2543
1163,2017,Boyne,BEEF,M,1743,8455,34930,10777,33365,4820,5727,2508
1164,2015,Boyne,BEEF,M,1710,8294,34757,10723,33428,4880,5857,2502
1165,2020,Nore,BEEF,M,1865,8751,43553,11096,42673,3774,3995,2424
1166,2015,Ilen,BEEF,M,269,928,4370,704,2610,261,295,371
1167,2014,Inny,BEEF,M,719,4108,15882,5012,15461,1908,2512,1326
1168,2014,Doonbeg,BEEF,M,165,611,2751,354,1465,131,215,292
1169,2018,Nore,DAIRY,M,507,2451,32475,2983,25259,1516,1585,220
1170,2014,Nore,DAIRY,M,503,2372,31735,2941,24325,1271,1576,227
1171,2019,Doonbeg,BEEF,M,155,594,2812,349,1469,97,192,273
1172,2016,Boyne,BEEF,M,1639,8068,36266,10005,32891,5399,6841,2564
1173,2020,Doonbeg,BEEF,M,155,623,2938,364,1376,154,215,276
1174,2018,Doonbeg,BEEF,M,156,593,2946,346,1380,154,214,267
1175,2015,Dodder,BEEF,M,20,103,138,49,72,11,22,25
1176,2020,Erriff,BEEF,M,16,36,163,25,71,11,5,18
1177,2019,Inny,DAIRY,M,86,318,2470,543,2323,218,267,90
1178,2017,Inny,DAIRY,M,107,347,2651,611,2440,239,270,95
1179,2020,Boyne,DAIRY,M,881,2569,10059,3307,9937,1496,991,273
1180,2017,Boyne,DAIRY,M,872,2558,9692,3232,9376,1492,1003,236
1181,2015,Gweebarra,BEEF,M,19,81,163,14,53,2,3,14
1182,2018,Gweebarra,DAIRY,M,0,0,6,0,0,0,0,0
1183,2014,Dodder,DAIRY,M,0,0,10,2,0,0,0,1
1184,2016,Dargle,BEEF,C,0,0,0,0,4,14,102,1229
1185,2015,Dargle,BEEF,C,0,0,0,0,4,14,102,1230
1186,2018,Doonbeg,BEEF,C,0,0,0,0,9,31,476,5797
1187,2015,Boyne,DAIRY,C,0,0,0,0,94,1627,10827,60195
1188,2020,Gweebarra,BEEF,F,25,90,181,73,135,22,56,10
1189,2019,Moy,DAIRY,C,0,0,0,0,12,78,1482,9555
1190,2017,Inny,DAIRY,C,0,0,0,0,33,212,3694,18801
1191,2018,Inny,DAIRY,C,0,0,0,0,33,207,3744,19033
1192,2014,Inny,DAIRY,C,0,0,0,0,32,212,3769,18803
1193,2017,Ilen,DAIRY,C,0,0,0,0,12,105,3653,19691
1194,2018,Ilen,DAIRY,C,0,0,0,0,12,105,3648,19585
1195,2014,Ilen,DAIRY,C,0,0,0,0,14,105,3814,20011
1196,2014,Doonbeg,DAIRY,C,0,0,0,0,2,3,1172,5724
1197,2018,Nore,BEEF,F,1784,8315,41457,9969,32618,4111,3817,1087
1198,2016,Nore,BEEF,F,1763,8319,41272,9993,32736,4142,3866,1085
1199,2015,Inny,BEEF,F,728,3763,16013,4854,15209,2427,2989,549
1200,2019,Doonbeg,BEEF,F,138,607,2913,359,1455,261,527,131
1201,2014,Doonbeg,BEEF,F,142,616,2848,386,1422,255,529,148
1202,2018,Moy,BEEF,F,806,3829,19421,4072,14294,2063,4065,884
1203,2017,Moy,BEEF,F,808,3834,19439,4062,14228,2044,4055,888
1204,2014,Inny,BEEF,F,718,3702,16059,4817,15164,2382,2949,551
1205,2019,Vartry,DAIRY,C,0,0,0,0,2,54,335,1204
1206,2016,Vartry,DAIRY,C,0,0,0,0,2,41,342,1317
1207,2014,Vartry,DAIRY,C,0,0,0,0,2,41,330,1499
1208,2017,Gweebarra,BEEF,C,0,0,0,0,0,10,42,678
1209,2016,Gweebarra,BEEF,C,0,0,0,0,0,10,42,678
1210,2018,Currane,DAIRY,C,0,0,0,0,0,0,3,33
1211,2017,Vartry,BEEF,F,63,290,1062,282,1108,196,133,32
1212,2015,Vartry,BEEF,F,63,294,1089,284,1126,189,128,33
1213,2020,Boyne,DAIRY,F,919,3506,15473,4681,15609,2970,2826,1020
1214,2019,Boyne,DAIRY,F,910,3468,15436,4656,15477,2963,2811,1014
1215,2015,Boyne,DAIRY,F,905,3621,14997,4745,15023,2974,2801,1067
1216,2014,Boyne,DAIRY,F,911,3599,15374,4750,15250,2973,2827,1073
1217,2014,Nore,DAIRY,F,417,1291,30453,1864,29536,1398,3410,582
1218,2017,Inny,DAIRY,F,134,527,5573,726,5708,486,776,212
1219,2015,Inny,DAIRY,F,128,509,5630,690,5652,473,753,210
1220,2017,Dargle,BEEF,F,29,197,691,145,498,56,71,29
1221,2020,Erriff,DAIRY,F,0,0,0,0,1,0,0,0
1222,2014,Doonbeg,DAIRY,F,2,28,1464,37,1490,25,278,66
1223,2017,Ilen,DAIRY,F,114,302,5437,428,4844,321,656,140
1224,2018,Erriff,BEEF,F,9,60,270,49,151,24,44,12
1225,2015,Erriff,BEEF,F,8,56,247,49,149,25,41,11
1226,2014,Erriff,BEEF,F,6,56,239,44,146,21,33,11
1227,2019,Currane,BEEF,F,27,227,248,95,127,43,74,22
1228,2015,Dodder,DAIRY,F,1,14,291,14,156,5,5,4
1229,2017,Gweebarra,DAIRY,F,0,0,33,0,35,0,0,0
1230,2014,Nore,BEEF,M,1694,8556,47266,11619,43713,4442,4170,2454
1231,2018,Currane,BEEF,M,25,244,179,20,62,10,7,44
1232,2016,Inny,BEEF,M,746,4011,16252,4614,14678,2181,2784,1270
1233,2014,Ilen,BEEF,M,265,973,5022,782,2596,289,324,383
1234,2019,Dargle,BEEF,M,25,166,517,99,325,30,37,56
1235,2017,Dodder,BEEF,M,20,103,138,49,73,14,23,25
1236,2016,Dodder,BEEF,M,20,103,138,49,73,14,23,25
1237,2014,Currane,BEEF,M,24,229,153,17,53,13,9,46
1238,2020,Nore,DAIRY,M,521,2135,29198,3034,28063,1350,1555,182
1239,2015,Nore,DAIRY,M,531,2017,28310,3049,26977,1312,1599,184
1240,2014,Inny,DAIRY,M,116,358,2525,563,2133,236,235,92
1241,2017,Doonbeg,DAIRY,M,3,18,738,20,655,8,81,16
1242,2018,Gweebarra,BEEF,M,21,88,169,20,55,4,3,16
1243,2014,Erriff,DAIRY,M,0,0,15,0,73,1,0,0
1244,2019,Ilen,DAIRY,M,77,196,2048,311,1435,53,100,49
1245,2017,Ilen,DAIRY,M,77,195,2022,311,1424,53,99,49
1246,2016,Ilen,DAIRY,M,77,196,2007,311,1441,53,102,51
1247,2015,Ilen,DAIRY,M,77,195,2052,311,1446,53,102,51
1248,2016,Moy,DAIRY,M,112,197,1187,234,1285,87,129,32
1249,2016,Dargle,DAIRY,M,0,8,91,13,11,4,0,1
1250,2017,Currane,DAIRY,M,0,0,24,0,2,0,0,0
1251,2016,Currane,DAIRY,M,0,0,24,0,2,0,0,0
1252,2015,Currane,DAIRY,M,0,0,24,0,2,0,0,0
1253,2015,Dodder,DAIRY,M,0,0,10,2,0,0,0,1
1254,2016,Nore,BEEF,C,0,0,0,1,235,749,5685,52734
1255,2016,Nore,DAIRY,C,0,0,0,2,125,491,21696,90244
