ITAX,EINTEXP,EXTRA,ELNATR,STNAME,INTINC,NETINC,NONIX,NIM,YEAR,ITAXR,IGLSEC,NONII,ID
462295,973479,482,112862,Tennessee,5331825,1768951,3517041,4358346,2018,2029516,199660,1301073,CB_2018_TN
1031683,1999006,0,499380,Texas,15459885,5825932,10770197,13460879,2018,6894721,-28032,4703419,CB_2018_TX
56482491,110974539,-37432,43570159,United States,606959170,221008501,428227645,495984631,2018,277624831,183810,253438003,CB_2018_US
56658122,111299038,-37432,43928974,United States & Other Areas,610121712,222055288,430302479,498822674,2018,278847937,183122,254256715,CB_2018_USA
4326921,6789380,0,4641603,Utah,32084083,14391320,22022409,25294703,2018,18713362,4879,20082671,CB_2018_UT
1980577,8162881,-13477,5908353,Virginia,36886734,7810044,25078051,28723853,2018,10050238,-241679,12312789,CB_2018_VA
747,756,0,169,Virgin Islands Of The U.S.,9187,2879,4918,8431,2018,3626,0,282,CB_2018_VI
4913,10372,0,1353,Vermont,104580,27404,93356,94208,2018,32567,-250,33068,CB_2018_VT
194324,328125,0,31071,Washington,2822212,877487,2007654,2494087,2018,1073217,-1406,617855,CB_2018_WA
242155,707968,0,73481,Wisconsin,3950095,1174881,2642223,3242127,2018,1422436,-5223,896013,CB_2018_WI
88811,176038,0,27950,West Virginia,1155770,361723,769893,979732,2018,450106,428,268217,CB_2018_WV
9137,38557,0,13366,Wyoming,316207,97736,218105,277650,2018,111736,-4863,65557,CB_2018_WY
0,0,0,0,Palau,0,0,0,0,2018,0,0,0,SI_2018_
1060,551,0,129,Alaska,15706,4718,12117,15155,2018,5319,459,2410,SI_2018_AK
1063,4382,0,257,Alabama,23227,4377,24102,18845,2018,5429,11,10943,SI_2018_AL
0,1506,0,0,Arkansas,4752,1165,5143,3246,2018,1165,0,3062,SI_2018_AR
0,0,0,0,American Samoa,0,0,0,0,2018,0,0,0,SI_2018_AS
0,0,0,0,Arizona,0,0,0,0,2018,0,0,0,SI_2018_AZ
137820,165400,0,22173,California,812844,338495,523037,647444,2018,477266,-951,375032,SI_2018_CA
4963,21349,0,4156,Colorado,93015,22170,46503,71666,2018,28731,-1598,7724,SI_2018_CO
54098,212382,0,26661,Connecticut,1134059,287658,858388,921677,2018,286419,55337,249791,SI_2018_CT
0,0,0,0,District Of Columbia,0,0,0,0,2018,0,0,0,SI_2018_DC
37018,43658,0,12517,Delaware,313654,121742,245767,269996,2018,153828,4932,142116,SI_2018_DE
58274,462678,0,22927,Florida,1437486,270156,1082451,974808,2018,326342,2088,456912,SI_2018_FL
0,0,0,0,Federated States of Micronesia,0,0,0,0,2018,0,0,0,SI_2018_FM
2003,14039,0,1614,Georgia,100802,17985,114450,86763,2018,19540,448,48841,SI_2018_GA
167,182,0,145,Guam,7153,627,7952,6971,2018,794,0,1920,SI_2018_GU
30287,29111,0,14864,Hawaii,332960,102400,213980,303849,2018,132642,45,57637,SI_2018_HI
17060,15236,0,-4587,Iowa,90621,50070,32450,75385,2018,70363,-3233,22841,SI_2018_IA
1845,1586,0,810,Idaho,28451,6300,27148,26865,2018,8145,0,9238,SI_2018_ID
29648,292730,0,103777,Illinois,1088453,91664,936318,795723,2018,121797,-485,366169,SI_2018_IL
5011,29820,0,4522,Indiana,178764,33406,170974,148944,2018,37026,1404,63578,SI_2018_IN
37432,152844,0,-1506,Kansas,454717,119822,197797,301873,2018,157717,-463,52135,SI_2018_KS
267,9459,0,163,Kentucky,43833,13156,28852,34374,2018,13524,-101,8165,SI_2018_KY
7822,35497,0,4717,Louisiana,205294,36909,172228,169797,2018,46090,-1359,53238,SI_2018_LA
265024,859497,0,82827,Massachusetts,4010315,889881,2600130,3150818,2018,1087695,72462,619833,SI_2018_MA
7967,32688,0,2207,Maryland,183881,35296,136024,151193,2018,43413,-146,30451,SI_2018_MD
30429,102675,0,11212,Maine,633679,136560,484391,531004,2018,159662,7425,124261,SI_2018_ME
81095,209792,0,-4159,Michigan,913822,281469,803907,704030,2018,364530,-1966,460248,SI_2018_MI
11343,15345,0,914,Minnesota,139736,36829,112646,124391,2018,48236,-64,37405,SI_2018_MN
13860,36586,0,4096,Missouri,151880,41270,152308,115294,2018,55160,-30,96270,SI_2018_MO
8,6452,0,718,Mississippi,22765,1655,15554,16313,2018,1660,3,1619,SI_2018_MS
432,275,0,0,Montana,3734,1137,8997,3459,2018,1569,0,7107,SI_2018_MT
5599,19397,0,84,North Carolina,104041,16051,69378,84644,2018,21814,-164,6632,SI_2018_NC
3859,11809,0,1132,North Dakota,97970,23136,103645,86161,2018,26995,0,45611,SI_2018_ND
25981,53887,0,11091,Nebraska,374947,87810,274741,321060,2018,114130,-339,78902,SI_2018_NE
13413,47685,-732,6780,New Hampshire,323026,58012,249375,275341,2018,71170,987,51984,SI_2018_NH
180447,678135,0,52740,New Jersey,2541949,559708,1603329,1863814,2018,772680,-32525,564935,SI_2018_NJ
464,8896,0,1053,New Mexico,44120,7909,51859,35224,2018,8373,0,26061,SI_2018_NM
1027714,607779,0,1716,Nevada,5477070,3348157,620833,4869291,2018,4375871,0,129129,SI_2018_NV
289708,1108090,0,52529,New York,3871514,990599,1784744,2763424,2018,1266385,14865,340234,SI_2018_NY
222392,302482,-229293,-8042,Ohio,1060649,669497,1016986,758167,2018,1121900,-678,1372677,SI_2018_OH
231,154355,0,-8929,Oklahoma,664347,290341,394598,509992,2018,290737,-165,166414,SI_2018_OK
2553,1279,0,572,Oregon,33290,7643,24403,32011,2018,10329,-133,3293,SI_2018_OR
167,182,0,145,Other Areas,7153,627,7952,6971,2018,794,0,1920,SI_2018_OT
262043,528857,0,39035,Pennsylvania,2896947,860791,2026646,2368090,2018,1112833,9392,810424,SI_2018_PA
167,182,0,145,Pacific Islands,7153,627,7952,6971,2018,794,0,1920,SI_2018_PI
0,0,0,0,Puerto Rico,0,0,0,0,2018,0,0,0,SI_2018_PR
5245,24279,0,5990,Rhode Island,125095,26664,102082,100816,2018,21370,10539,28626,SI_2018_RI
2726,7453,0,28,South Carolina,62393,14218,46725,54940,2018,17193,-249,9006,SI_2018_SC
5750,38073,0,69827,South Dakota,288782,84615,306537,250709,2018,98976,-7016,224631,SI_2018_SD
5480,16088,0,1276,Tennessee,128628,32540,91099,112540,2018,37933,87,17768,SI_2018_TN
394753,360175,0,614759,Texas,5059538,1353149,4908541,4699363,2018,1748031,-129,2571968,SI_2018_TX
4344191,8499996,-230025,6104387,United States,50931409,14708952,29006325,42431413,2018,19145660,144844,11824958,SI_2018_US
4344358,8500178,-230025,6104532,United States & Other Areas,50938562,14709579,29014277,42438384,2018,19146454,144844,11826878,SI_2018_USA
729000,1480000,0,4994000,Utah,12815000,2361000,4035000,11335000,2018,3102000,-12000,796000,SI_2018_UT
221724,89595,0,-86143,Virginia,1488357,598225,781372,1398762,2018,793383,26566,89850,SI_2018_VA
0,0,0,0,Virgin Islands Of The U.S.,0,0,0,0,2018,0,0,0,SI_2018_VI
2121,14615,0,2051,Vermont,89767,14873,74518,75152,2018,15486,1508,16903,SI_2018_VT
23327,48732,0,3778,Washington,320233,101393,204600,271501,2018,124375,345,61252,SI_2018_WA
81271,133040,0,37659,Wisconsin,593435,246766,1193425,460395,2018,328302,-265,1098991,SI_2018_WI
1759,6602,0,121,West Virginia,32007,5702,19431,25405,2018,7461,0,1608,SI_2018_WV
802,3155,0,271,Wyoming,19854,3863,16796,16699,2018,4665,0,5033,SI_2018_WY
0,0,0,0,Palau,0,0,0,0,2017,0,0,0,CB_2017_
36937,7075,0,6554,Alaska,220542,57069,181531,213467,2017,95210,-877,69828,CB_2017_AK
1221373,919159,0,531151,Alabama,8597508,2307301,6726484,7678349,2017,3505593,26973,3084879,CB_2017_AL
500830,401025,0,201237,Arkansas,3776956,1249053,2691883,3375931,2017,1740200,9697,1257389,CB_2017_AR
0,0,0,0,American Samoa,0,0,0,0,2017,0,0,0,CB_2017_AS
145920,60279,0,23196,Arizona,997498,365024,552369,937219,2017,508086,2858,146432,CB_2017_AZ
4341799,2654088,-3416,489687,California,24281187,5881947,17479220,21627099,2017,10126887,59896,6468695,CB_2017_CA
262000,124133,0,52279,Colorado,2094656,631108,1558221,1970523,2017,889293,3655,529270,CB_2017_CO
267791,336094,0,72530,Connecticut,2506721,667567,1844340,2170627,2017,959376,-24018,705619,CB_2017_CT
4669,2627,0,-1604,District Of Columbia,39623,3495,40913,36996,2017,8832,109,11145,CB_2017_DC
5751023,7039838,4336,9566431,Delaware,49618181,8676311,29799571,42578343,2017,14498188,52670,11285847,CB_2017_DE
481918,761790,0,162341,Florida,5501360,1672962,3336662,4739570,2017,2114508,40379,873941,CB_2017_FL
83,213,0,315,Federated States of Micronesia,6241,2101,4199,6028,2017,2184,0,670,CB_2017_FM
1259693,975424,0,541017,Georgia,10336651,3406822,8193191,9361227,2017,4784085,-108505,4157066,CB_2017_GA
12599,2442,0,7519,Guam,91002,7518,101667,88560,2017,20113,4,40739,CB_2017_GU
303188,104562,0,33163,Hawaii,1314173,418488,870741,1209611,2017,724389,-2714,418682,CB_2017_HI
204237,436215,217,118956,Iowa,2962686,899879,1871198,2526471,2017,1100001,3898,563684,CB_2017_IA
33138,11482,0,3631,Idaho,214763,44629,162849,203281,2017,77849,-82,41048,CB_2017_ID
1711428,1499995,237,451633,Illinois,12178279,3712923,11896018,10678284,2017,5402534,22432,7071901,CB_2017_IL
409029,338589,0,72643,Indiana,3012663,873964,2162227,2674074,2017,1272379,10714,833175,CB_2017_IN
136372,261102,0,66889,Kansas,2119769,585217,1662728,1858667,2017,718942,2551,589892,CB_2017_KS
149323,241976,0,85029,Kentucky,2256653,604062,1727138,2014677,2017,750965,2420,548455,CB_2017_KY
252206,304242,0,226107,Louisiana,2821814,535283,2022410,2517572,2017,783278,4211,514223,CB_2017_LA
